Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,account.Contract,account.PaymentMethod,account.Charges.Total,daily_bill
0,0,0,1,1,9.0,One year,Mailed check,593.3,2.2
0,1,0,0,0,9.0,Month-to-month,Mailed check,542.4,2.01
1,1,0,0,0,4.0,Month-to-month,Electronic check,280.85,2.34
1,1,1,1,0,13.0,Month-to-month,Electronic check,1237.85,3.17
1,0,1,1,0,3.0,Month-to-month,Mailed check,267.4,2.97
0,0,0,0,1,9.0,Month-to-month,Credit card (automatic),571.45,2.12
0,0,1,1,0,71.0,Two year,Bank transfer (automatic),7904.25,3.71
0,1,0,1,0,63.0,Two year,Credit card (automatic),5377.8,2.85
0,0,1,0,0,7.0,Month-to-month,Electronic check,340.35,1.62
0,0,0,1,1,65.0,Two year,Mailed check,5957.9,3.06
0,1,0,0,0,54.0,Two year,Credit card (automatic),2460.55,1.52
0,0,0,1,1,72.0,Two year,Credit card (automatic),8456.75,3.92
0,0,0,1,0,5.0,Month-to-month,Electronic check,351.5,2.34
0,0,0,0,0,72.0,Two year,Bank transfer (automatic),7261.25,3.36
0,0,0,0,0,56.0,Two year,Bank transfer (automatic),2560.1,1.52
0,0,0,1,1,71.0,Two year,Credit card (automatic),6849.4,3.22
0,0,0,1,1,34.0,One year,Mailed check,1993.2,1.95
0,0,1,0,0,1.0,Month-to-month,Electronic check,72.1,2.4
1,1,1,0,0,45.0,One year,Credit card (automatic),2791.5,2.07
1,1,1,0,0,1.0,Month-to-month,Electronic check,25.1,0.84
0,0,1,1,0,50.0,One year,Electronic check,1306.3,0.87
1,0,0,1,0,13.0,Month-to-month,Electronic check,1215.6,3.12
0,0,0,1,1,23.0,Month-to-month,Electronic check,1849.95,2.68
0,0,0,0,0,3.0,Month-to-month,Mailed check,57.2,0.64
1,0,0,1,1,4.0,Month-to-month,Mailed check,76.35,0.64
1,0,0,1,1,1.0,Month-to-month,Bank transfer (automatic),30.5,1.02
0,0,0,1,1,55.0,One year,Bank transfer (automatic),5656.75,3.43
